projectid,project_oid,subject,category_name,area_name,region_name,price,rooms,size,ward_name,price_million_per_m2,street_name,area_v2,facilities_key,surrounding_key,investor_id,investor_name
2464,1582239957,9670,1,23,42,2000000000.0,2.0,100.0,376,20.0,507,23,136,90,378,186
2464,1582239957,7654,1,23,42,2100000000.0,2.0,100.0,376,21.0,1059,23,136,90,378,186
2464,1582239957,9874,1,23,42,33333333333.0,3.0,1000.0,376,33.333333333,507,23,136,90,378,186
2464,1582239957,4218,1,23,42,1300000000.0,2.0,105.0,376,12.38095238095238,507,23,136,90,378,186
2464,1582239957,4460,0,23,42,350000000.0,1.0,33.0,376,10.606060606060606,507,23,136,90,378,186
2464,1582239957,9231,0,23,42,350000000.0,1.0,35.0,376,10.0,507,23,136,90,378,186
2464,1582239957,9572,1,23,42,1650000000.0,2.0,100.0,376,16.5,507,23,136,90,378,186
2464,1582239957,3327,0,23,42,700000000.0,1.0,33.0,376,21.21212121212121,507,23,136,90,378,186
2464,1582239957,9900,1,23,42,3500000000.0,3.0,254.0,376,13.77952755905512,507,23,136,90,378,186
2464,1582239957,2199,0,23,42,690000000.0,1.0,35.0,376,19.714285714285715,1059,23,136,90,378,186
284,405530665,2262,0,37,13,3620000000.0,2.0,71.0,411,50.985915492957744,752,37,503,229,975,542
284,405530665,1972,0,37,13,2900000000.0,2.0,56.0,411,51.785714285714285,752,37,503,229,975,542
284,405530665,1807,1,37,13,6000000000.0,4.0,88.0,411,68.18181818181819,752,37,503,229,975,542
284,405530665,9272,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
284,405530665,456,0,37,13,2700000000.0,2.0,55.0,411,49.09090909090909,752,37,503,229,975,542
284,405530665,8464,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
284,405530665,8456,0,37,13,2700000000.0,2.0,56.0,411,48.21428571428572,752,37,503,229,975,542
284,405530665,4178,1,37,13,52500000000.0,4.0,300.0,411,175.0,752,37,503,229,975,542
284,405530665,2,1,37,13,3444344442.0,6.0,110.0,411,31.3122222,752,37,503,229,975,542
284,405530665,3213,0,37,13,3800000000.0,2.0,62.0,411,61.29032258064516,752,37,503,229,975,542
284,405530665,3912,0,37,13,17000000000.0,5.0,210.0,411,80.95238095238095,752,37,503,229,975,542
