projectid,project_oid,subject,category_name,area_name,region_name,price,rooms,size,ward_name,price_million_per_m2,street_name,area_v2,facilities_key,surrounding_key,investor_id,investor_name
4883,619633814,9637,0,91,2,950000000.0,2.0,60.0,25,15.833333333333334,616,91,0,134,1973,416
4883,619633814,7010,0,91,2,1900000000.0,2.0,55.0,25,34.54545454545455,424,91,0,134,1973,416
4883,619633814,5680,0,91,2,2000000000.0,2.0,55.0,25,36.36363636363637,616,91,0,134,1973,416
4883,619633814,5892,0,91,2,1200000000.0,2.0,60.0,25,20.0,424,91,0,134,1973,416
4883,619633814,4859,0,91,2,2200000000.0,2.0,60.0,25,36.66666666666666,616,91,0,134,1973,416
4883,619633814,2229,0,91,2,1800000000.0,2.0,55.0,25,32.72727272727273,616,91,0,134,1973,416
4883,619633814,8413,0,91,2,2800000000.0,2.0,58.0,25,48.27586206896552,616,91,0,134,1973,416
4888,1167970029,9788,3,73,41,2500000000.0,2.2908415841584158,75.0,139,33.333333333333336,1134,73,0,112,1498,432
4888,1167970029,8433,0,73,41,2200000000.0,2.0,55.0,139,40.0,746,73,0,112,1498,432
4888,1167970029,8701,0,73,41,7000000000.0,4.0,60.0,139,116.66666666666669,746,73,0,112,1498,432
4888,1167970029,5670,0,73,41,2400000000.0,2.0,55.0,139,43.63636363636363,746,73,0,112,1498,432
4888,1167970029,32,0,73,41,2500000000.0,2.0,55.0,139,45.45454545454545,746,73,0,112,1498,432
4888,1167970029,8652,2,73,41,15000000000.0,2.2908415841584158,100.0,139,162.5,746,73,0,112,1498,432
4888,1167970029,172,0,73,41,2600000000.0,2.0,55.0,139,47.27272727272727,746,73,0,112,1498,432
4888,1167970029,3774,1,73,41,8500000000.0,4.0,100.0,139,85.0,746,73,0,112,1498,432
4888,1167970029,4696,0,73,41,2100000000.0,1.0,50.0,139,42.0,232,73,0,112,1498,432
4888,1167970029,9034,0,73,41,1900000000.0,2.0,50.0,139,38.0,746,73,0,112,1498,432
